일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/07/15","70100","-2000","-2.77","72100","72200","69400","1605289","112791505900","31190875199100","444948291"
"2022/07/14","72100","200","0.28","71000","73400","70400","1597400","114769725400","32080771781100","444948291"
"2022/07/13","71900","1600","2.28","70100","72200","70100","1156844","82679427100","31991782122900","444948291"
"2022/07/12","70300","-1000","-1.40","70700","71000","69400","1082539","75752698100","31279864857300","444948291"
"2022/07/11","71300","-500","-0.70","71900","72800","71100","979002","70398774400","31724813148300","444948291"
"2022/07/08","71800","-1200","-1.64","73900","73900","71800","1418763","103036162300","31947287293800","444948291"
"2022/07/07","73000","-500","-0.68","74500","74900","72700","1603464","117638093500","32472042281000","444822497"
"2022/07/06","73500","1500","2.08","71300","75000","71200","2724220","201130291500","32694453529500","444822497"
"2022/07/05","72000","3900","5.73","68700","72500","68300","2125688","151212430500","32027219784000","444822497"
"2022/07/04","68100","800","1.19","67300","69000","66200","1019171","69140963200","30292412045700","444822497"
"2022/07/01","67300","-2600","-3.72","70000","70300","66600","1817276","123969443700","29936554048100","444822497"
"2022/06/30","69900","-900","-1.27","70400","71100","69900","1339031","94023639000","31093092540300","444822497"
"2022/06/29","70800","-800","-1.12","70100","71300","69700","1185471","83707573800","31493432787600","444822497"
"2022/06/28","71600","-200","-0.28","71600","72300","70600","1082711","77065793000","31849290785200","444822497"
"2022/06/27","71800","300","0.42","72400","72900","70600","1470633","105894681900","31938255284600","444822497"
"2022/06/24","71500","4400","6.56","67400","71500","67400","2331632","163898347900","31804808535500","444822497"
"2022/06/23","67100","-1400","-2.04","68300","69300","66700","2005224","136300369900","29847589548700","444822497"
"2022/06/22","68500","-2000","-2.84","70900","71000","68500","1908000","132020636300","30470341044500","444822497"
"2022/06/21","70500","900","1.29","69600","70700","69200","1525415","106878817500","31359986038500","444822497"
"2022/06/20","69600","-2600","-3.60","72300","72900","68700","2436471","169829327900","30959645791200","444822497"
"2022/06/17","72200","-100","-0.14","70200","73000","70200","3044377","219314916600","32116184283400","444822497"
"2022/06/16","72300","-400","-0.55","74400","75200","71900","2053257","151110147300","32160666533100","444822497"
"2022/06/15","72700","-3900","-5.09","76100","76500","72100","2844798","208729156800","32338595531900","444822497"
"2022/06/14","76600","100","0.13","74900","76900","74200","2342617","177232876400","34073403270200","444822497"
"2022/06/13","76500","-3600","-4.49","77800","78200","76100","2176053","167390895300","34028921020500","444822497"
"2022/06/10","80100","-1200","-1.48","80400","81000","80000","1430382","114850461300","35630282009700","444822497"
"2022/06/09","81300","-200","-0.25","81100","81800","80300","1732196","140284523100","36104365944600","444088142"
"2022/06/08","81500","-400","-0.49","82700","82800","81200","1317967","107748490400","36193183573000","444088142"
"2022/06/07","81900","-3800","-4.43","84500","84800","81600","2373935","196169225300","36370818829800","444088142"
"2022/06/03","85700","2000","2.39","84800","87400","84700","2371620","204453657500","38058353769400","444088142"
"2022/06/02","83700","-1300","-1.53","84000","84200","82900","1147185","95753857100","37170177485400","444088142"
"2022/05/31","85000","1100","1.31","84100","85000","82900","2170810","182759481800","37747492070000","444088142"
"2022/05/30","83900","2200","2.69","82800","84000","82600","2091429","174415059300","37258995113800","444088142"
"2022/05/27","81700","200","0.25","82400","83000","81500","1038755","85228313000","36282001201400","444088142"
"2022/05/26","81500","-300","-0.37","81900","83300","81000","1338305","109949824200","36193183573000","444088142"
"2022/05/25","81800","1200","1.49","81000","82000","80300","1365261","111054803200","36326410015600","444088142"
